Type of crime,id,Year,Number of cases,"Rate per 100,000 people"
Theft,Johor,2017,2043,54.18
Theft,Kedah,2017,1108,50.93
Theft,Kelantan,2017,547,29.61
Theft,Kuala Lumpur,2017,3128,160.12
Theft,Melaka,2017,448,48.62
Theft,Negeri Sembilan,2017,1121,99.28
Theft,Pahang,2017,712,42.41
Theft,Perak,2017,1013,39.75
Theft,Perlis,2017,182,70.98
Theft,Penang,2017,861,49.29
Theft,Sabah,2017,2541,64.28
Theft,Sarawak,2017,1284,46.03
Theft,Selangor,2017,4091,63.91
Theft,Terengganu,2017,365,29.88
